GrNr;TrialNr;ParticipantNr;EMO;SIG;SYNCIX
3;36;10;1;0.032409675;0.96199104
3;36;11;1;0.00484897;0.98686132
3;36;12;0;0.004656922;0.98455169
3;37;9;1;0.034282233;0.98313884
3;37;10;-1;0.023760726;0.98415277
3;37;11;-1;0.04863911;0.95668437
3;37;12;0;0.048511562;0.98093291
3;38;9;1;0.017982;0.9864223
3;38;10;-1;0.018277595;0.97745196
3;38;11;-1;0.016926344;0.98693026
3;38;12;1;0.03579581;0.96584104
3;39;9;1;0.070463662;0.9132014
3;39;10;-1;0.050567629;0.9591849
3;39;11;0;0.064442418;0.96910707
3;39;12;-1;0.20877223;0.68867527
3;40;9;1;0.042773461;0.92528015
3;40;10;-1;0.010162501;0.9812695
3;40;11;0;0.019633031;0.96944988
3;40;12;1;0.02666267;0.98772153
3;41;9;1;0.014292257;0.9809768
3;41;10;-1;0.013302353;0.98894408
3;41;11;1;0.00592955;0.9833464
3;41;12;-1;0.039597485;0.95307894
3;42;9;1;0.010162654;0.99277173
3;42;10;-1;0.02324741;0.97581678
3;42;11;1;0.002323893;0.98789465
3;42;12;0;0.005316216;0.98656832
3;43;9;1;0.00409491;0.99189954
3;43;10;0;0.004606812;0.99064212
3;43;11;-1;0.001563728;0.9910623
3;43;12;0;0.006117745;0.98510689
3;44;9;1;0.011255283;0.99027102
3;44;10;0;0.011782412;0.98198058
3;44;11;-1;0.00971452;0.97338615
3;44;12;1;0.019790005;0.96872321
3;45;9;1;0.010003732;0.99387349
3;45;10;0;0.018968254;0.96397366
3;45;11;0;0.00960599;0.97560658
3;45;12;-1;0.013793416;0.98400231
3;46;9;1;0.13136639;0.92755263
3;46;10;0;0.16804184;0.94797849
3;46;11;0;0.11688171;0.94926816
3;46;12;1;0.57086405;0.13227408
3;47;9;1;0.010118289;0.99419653
3;47;10;0;0.006010237;0.98707737
3;47;11;1;0.018072392;0.99295378
3;47;12;-1;0.007972577;0.98738078
3;48;9;1;0.011498619;0.98357473
3;48;10;0;0.019800747;0.98332564
